region,slide_id,full_path,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn,mag
BRCA,TCGA-S3-AA15-01Z-00-DX1.A2456A4A-E6E8-4429-8F09-B997AA497BB0,/data2/WSI_TCGA/BRCA/0018cc22-498a-45b8-bfd4-b0fe0c3a2f0a/TCGA-S3-AA15-01Z-00-DX1.A2456A4A-E6E8-4429-8F09-B997AA497BB0.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-A2-A3XT-01Z-00-DX1.336D6C78-576A-481B-8C83-F3A0FC4B182C,/data2/WSI_TCGA/BRCA/006984cf-35fc-4bc3-a0db-7f5b68de4a6e/TCGA-A2-A3XT-01Z-00-DX1.336D6C78-576A-481B-8C83-F3A0FC4B182C.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-A2-A25A-01Z-00-DX1.6D311E39-9F96-4775-B9DA-8D034D1AD1DC,/data2/WSI_TCGA/BRCA/0070d4e9-f838-4ee9-a48b-c894b3b86440/TCGA-A2-A25A-01Z-00-DX1.6D311E39-9F96-4775-B9DA-8D034D1AD1DC.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-AC-A3BB-01Z-00-DX1.CE889249-2A5E-44DA-B04E-746BE82CD805,/data2/WSI_TCGA/BRCA/00ab866f-a0a3-44c0-ad14-c9dc833239a7/TCGA-AC-A3BB-01Z-00-DX1.CE889249-2A5E-44DA-B04E-746BE82CD805.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-BH-A0B5-01Z-00-DX1.742DB0E8-8EB1-47C8-B698-8E2438FB6299,/data2/WSI_TCGA/BRCA/00d39e31-94d4-4e9e-a8c5-5310355f71ad/TCGA-BH-A0B5-01Z-00-DX1.742DB0E8-8EB1-47C8-B698-8E2438FB6299.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-E9-A1R2-01Z-00-DX1.5529C856-4F4F-4F17-94A2-5CEF94A940EB,/data2/WSI_TCGA/BRCA/00d9f621-eb0a-4968-b553-1db2b94d3f98/TCGA-E9-A1R2-01Z-00-DX1.5529C856-4F4F-4F17-94A2-5CEF94A940EB.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-EW-A1OY-01Z-00-DX1.42AF5C9A-A90F-4A58-B5D4-B615F8CD4333,/data2/WSI_TCGA/BRCA/00e926c5-d65d-42e5-8ba4-afaab66db47c/TCGA-EW-A1OY-01Z-00-DX1.42AF5C9A-A90F-4A58-B5D4-B615F8CD4333.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-EW-A6SC-01Z-00-DX1.C2D50E7C-3AD0-4038-9A1C-CAE54A3FBE2F,/data2/WSI_TCGA/BRCA/016fc18e-1a88-478f-82a4-38f4f10a8f42/TCGA-EW-A6SC-01Z-00-DX1.C2D50E7C-3AD0-4038-9A1C-CAE54A3FBE2F.svs,0,processed,2,8,7,4,False,none,none,16.0,4.0,8,2,100,True,four_pt,40
BRCA,TCGA-A2-A04T-01Z-00-DX1.71444266-BD56-4183-9603-C7AC20C9DA1E,/data2/WSI_TCGA/BRCA/018f441c-62ba-4658-b110-e30bf8381856/TCGA-A2-A04T-01Z-00-DX1.71444266-BD56-4183-9603-C7AC20C9DA1E.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-A8-A06O-01Z-00-DX1.FA4495B2-5B13-4448-ADCB-EF5316E0955B,/data2/WSI_TCGA/BRCA/01c79d06-a4a7-47a7-bb8b-b98ce6652c99/TCGA-A8-A06O-01Z-00-DX1.FA4495B2-5B13-4448-ADCB-EF5316E0955B.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,20
BRCA,TCGA-AO-A0J5-01Z-00-DX1.20C14D0C-1A74-4FE9-A5E6-BDDCB8DE7714,/data2/WSI_TCGA/BRCA/01dbcd23-40da-4f7e-9c48-8cdf11724863/TCGA-AO-A0J5-01Z-00-DX1.20C14D0C-1A74-4FE9-A5E6-BDDCB8DE7714.svs,0,processed,2,8,7,4,False,none,none,16.0,4.0,8,2,100,True,four_pt,10
BRCA,TCGA-AR-A24N-01Z-00-DX1.563E9160-9E09-4E3F-8CE9-FFED0AA52927,/data2/WSI_TCGA/BRCA/01ed7393-c0a8-4958-9ad9-9beb47221a54/TCGA-AR-A24N-01Z-00-DX1.563E9160-9E09-4E3F-8CE9-FFED0AA52927.svs,0,processed,2,8,7,4,False,none,none,16.0,4.0,8,2,100,True,four_pt,40
BRCA,TCGA-B6-A0WZ-01Z-00-DX1.6CFB236E-36F5-43D6-8DE3-C4ECBD3C14C6,/data2/WSI_TCGA/BRCA/02732da3-5144-4680-b6ee-cb8563125493/TCGA-B6-A0WZ-01Z-00-DX1.6CFB236E-36F5-43D6-8DE3-C4ECBD3C14C6.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-E2-A1L9-01Z-00-DX1.F2CC1036-8EEE-4664-962E-541B8ACB10DE,/data2/WSI_TCGA/BRCA/0279f555-9738-41e0-b89f-ded25829adc0/TCGA-E2-A1L9-01Z-00-DX1.F2CC1036-8EEE-4664-962E-541B8ACB10DE.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-A7-A0CG-01Z-00-DX1.D77019C2-96B1-4EF5-A61E-5F2D5B8D9852,/data2/WSI_TCGA/BRCA/0298ba6e-c343-447e-abd6-95c6005d05f5/TCGA-A7-A0CG-01Z-00-DX1.D77019C2-96B1-4EF5-A61E-5F2D5B8D9852.svs,0,processed,2,8,7,4,False,none,none,16.0,4.0,8,2,100,True,four_pt,40
BRCA,TCGA-D8-A1JB-01Z-00-DX1.6CF48257-066C-4B8C-91AA-30A6B4AD4307,/data2/WSI_TCGA/BRCA/030c723e-3e9c-435b-b007-e98ffd16810c/TCGA-D8-A1JB-01Z-00-DX1.6CF48257-066C-4B8C-91AA-30A6B4AD4307.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-BH-A28O-01Z-00-DX1.B37603E3-BC80-4DDA-B44D-B5F794E3398E,/data2/WSI_TCGA/BRCA/0312a54c-3a16-4f85-a228-99d6efa09c1b/TCGA-BH-A28O-01Z-00-DX1.B37603E3-BC80-4DDA-B44D-B5F794E3398E.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-A2-A4RW-01Z-00-DX1.4AF8656E-2478-4895-8C59-B0C969F3E474,/data2/WSI_TCGA/BRCA/0323e070-884a-4da1-b9ef-b8ea99a5c1de/TCGA-A2-A4RW-01Z-00-DX1.4AF8656E-2478-4895-8C59-B0C969F3E474.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-AC-A5XU-01Z-00-DX1.1AEEFAAF-0906-4086-8022-13B689FAB9F5,/data2/WSI_TCGA/BRCA/032fc1ed-c515-4b26-a229-f67c1eb6fdc3/TCGA-AC-A5XU-01Z-00-DX1.1AEEFAAF-0906-4086-8022-13B689FAB9F5.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-E9-A1N4-01Z-00-DX1.71c8d4a5-ec99-4012-9fe2-ddb3349ad5bc,/data2/WSI_TCGA/BRCA/0334c3e5-ea1f-4f55-bcc1-e8cd8b450921/TCGA-E9-A1N4-01Z-00-DX1.71c8d4a5-ec99-4012-9fe2-ddb3349ad5bc.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-E9-A5FK-01Z-00-DX1.3F002C99-B4CA-4068-A816-EAC370A2E8C4,/data2/WSI_TCGA/BRCA/035a8ebb-a2c2-41bd-bcb9-8a9f5ac1a8a6/TCGA-E9-A5FK-01Z-00-DX1.3F002C99-B4CA-4068-A816-EAC370A2E8C4.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-AR-A0TY-01Z-00-DX1.089EB6B4-9921-441D-84F3-C64C97AFC3B4,/data2/WSI_TCGA/BRCA/035f4d0d-78f8-4df0-94a2-112922f584a8/TCGA-AR-A0TY-01Z-00-DX1.089EB6B4-9921-441D-84F3-C64C97AFC3B4.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-D8-A145-01Z-00-DX2.B834BF47-1CD6-45EA-BB88-D8ECE1FDDC6A,/data2/WSI_TCGA/BRCA/03852b0e-6c6b-4ba5-ad32-7876d6608793/TCGA-D8-A145-01Z-00-DX2.B834BF47-1CD6-45EA-BB88-D8ECE1FDDC6A.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-AO-A1KO-01Z-00-DX1.EEB5E0A0-92B2-42CD-9F7A-00E9250B561F,/data2/WSI_TCGA/BRCA/03a7acd9-178a-4165-9588-fa63e46f3387/TCGA-AO-A1KO-01Z-00-DX1.EEB5E0A0-92B2-42CD-9F7A-00E9250B561F.svs,0,processed,2,8,7,4,False,none,none,16.0,4.0,8,2,100,True,four_pt,10
BRCA,TCGA-E9-A1NC-01Z-00-DX1.20edf036-8ba6-4187-a74c-124fc39f5aa1,/data2/WSI_TCGA/BRCA/03dde19f-f6f0-4b6b-a559-febbf532ca76/TCGA-E9-A1NC-01Z-00-DX1.20edf036-8ba6-4187-a74c-124fc39f5aa1.svs,0,processed,2,8,7,4,False,none,none,16.0,4.0,8,2,100,True,four_pt,40
BRCA,TCGA-A2-A259-01Z-00-DX1.7289CD72-CB74-41D4-B4AC-4EA5FDFEC666,/data2/WSI_TCGA/BRCA/03f5138d-0f0d-4e6c-a9cb-2598a9eaa587/TCGA-A2-A259-01Z-00-DX1.7289CD72-CB74-41D4-B4AC-4EA5FDFEC666.svs,0,processed,2,8,7,4,False,none,none,16.0,4.0,8,2,100,True,four_pt,40
BRCA,TCGA-JL-A3YW-01Z-00-DX1.827C5C53-9C30-4307-802A-5A7896828A7F,/data2/WSI_TCGA/BRCA/0415dc25-2014-4f97-8ad5-fe33adc92874/TCGA-JL-A3YW-01Z-00-DX1.827C5C53-9C30-4307-802A-5A7896828A7F.svs,0,processed,2,8,7,4,False,none,none,16.0,4.0,8,2,100,True,four_pt,40
BRCA,TCGA-A2-A1G0-01Z-00-DX1.9ECB0B8A-EF4E-45A9-82AC-EF36375DEF65,/data2/WSI_TCGA/BRCA/041d454d-4bae-4e12-8f32-46220670ef16/TCGA-A2-A1G0-01Z-00-DX1.9ECB0B8A-EF4E-45A9-82AC-EF36375DEF65.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-EW-A1OV-01Z-00-DX1.93698123-5B34-4163-848B-2D75A5F7B001,/data2/WSI_TCGA/BRCA/0441253a-5af1-4b62-9f75-9bfa19066cd8/TCGA-EW-A1OV-01Z-00-DX1.93698123-5B34-4163-848B-2D75A5F7B001.svs,0,processed,2,8,7,4,False,none,none,16.0,4.0,8,2,100,True,four_pt,40
BRCA,TCGA-E9-A22D-01Z-00-DX1.b2867437-0add-4b7d-8002-fb09ed961942,/data2/WSI_TCGA/BRCA/044f28b0-564a-42d8-9df1-ba3fd4d6c014/TCGA-E9-A22D-01Z-00-DX1.b2867437-0add-4b7d-8002-fb09ed961942.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-E2-A1AZ-01Z-00-DX1.FE769F5F-385B-4DCF-819A-735C98D84FA8,/data2/WSI_TCGA/BRCA/05731e24-2d30-4cb0-9c61-c8bdbfbf77b9/TCGA-E2-A1AZ-01Z-00-DX1.FE769F5F-385B-4DCF-819A-735C98D84FA8.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-A7-A0DA-01Z-00-DX2.90C93176-C3C6-41B3-B34B-B16F1A1779E6,/data2/WSI_TCGA/BRCA/0596eeff-867c-4732-977b-9225cf81b4e6/TCGA-A7-A0DA-01Z-00-DX2.90C93176-C3C6-41B3-B34B-B16F1A1779E6.svs,0,processed,2,8,7,4,False,none,none,16.0,4.0,8,2,100,True,four_pt,40
BRCA,TCGA-LD-A74U-01Z-00-DX1.F3C1EBBB-4AED-49A9-A8D2-B6145E162BE4,/data2/WSI_TCGA/BRCA/05a2048b-9cb0-43b4-b3ef-5cd1b47f38d1/TCGA-LD-A74U-01Z-00-DX1.F3C1EBBB-4AED-49A9-A8D2-B6145E162BE4.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-BH-A1FL-01Z-00-DX1.D3E9F46E-9A28-4AAE-8C87-D6F1851227A3,/data2/WSI_TCGA/BRCA/0670f8bf-f09b-4f7f-8f14-683dceaf2cb0/TCGA-BH-A1FL-01Z-00-DX1.D3E9F46E-9A28-4AAE-8C87-D6F1851227A3.svs,0,processed,2,8,7,4,False,none,none,16.0,4.0,8,2,100,True,four_pt,40
BRCA,TCGA-D8-A1JC-01Z-00-DX1.16D32FE8-4D76-4EEC-9739-D394087605BC,/data2/WSI_TCGA/BRCA/0690adaa-a9b6-4d46-85fc-95f3d1d0a36d/TCGA-D8-A1JC-01Z-00-DX1.16D32FE8-4D76-4EEC-9739-D394087605BC.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-AR-A0TQ-01Z-00-DX1.2BEA298C-6B3D-4133-ADBC-769E62CEFFA0,/data2/WSI_TCGA/BRCA/069a8f13-04e2-41c7-ab64-90a465c7c4bc/TCGA-AR-A0TQ-01Z-00-DX1.2BEA298C-6B3D-4133-ADBC-769E62CEFFA0.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-AR-A24L-01Z-00-DX1.218A0AE1-D070-4A16-A277-31185F10724D,/data2/WSI_TCGA/BRCA/06d5917c-06d2-41ec-80f5-511d4d27b82d/TCGA-AR-A24L-01Z-00-DX1.218A0AE1-D070-4A16-A277-31185F10724D.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-C8-A137-01Z-00-DX1.87F3775D-A401-4D5E-843F-8FB1D4BE97F8,/data2/WSI_TCGA/BRCA/074e1fce-d868-482d-8c87-713c4a64fb8f/TCGA-C8-A137-01Z-00-DX1.87F3775D-A401-4D5E-843F-8FB1D4BE97F8.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
BRCA,TCGA-AR-A251-01Z-00-DX1.E91E357A-3AD4-4F79-A698-05F0B21A37EC,/data2/WSI_TCGA/BRCA/0760cc7a-614b-4c00-acc0-6826c028ffe5/TCGA-AR-A251-01Z-00-DX1.E91E357A-3AD4-4F79-A698-05F0B21A37EC.svs,0,processed,3,8,7,4,False,none,none,16.0,4.0,8,3,100,True,four_pt,40
